Auditor Exception Guide;;;;;;;;;;
Country;Payment Type;Expense Type;Exception Description;;;;;Empacadora Perry;Guatemala;Mantenimiento de vehiculo
Colombia;T card;Fuel;para el tema de combustible esta autorizado hacer el pago  de este mismo con la tarjeta teniendo en cuenta 1. que a nivel pais se hace alquiler de carros y por politicas de estas empresas se debe de entregar el vehiculo tanquedo, 2.se puede realizar la compra de combustible si el vehiculo es propio y es utilizado para fines laborales caso particular vendedores , debe de acogerse a la politica de combustible a nivel pais y  legalizar con  la factura del proveedor y la plantilla de combustible ( 42,5 km /galon) este beneficio solo aplica para los usuarios que no tienen chip el cual es un beneficio autorizado segun la politica de gastos de combustible.;;;;;;;
Colombia;Cash Advance;Fuel;para el tema de combustible esta autorizado hacer el pago  de este mismo con la tarjeta teniendo en cuenta 1. que a nivel pais se hace alquiler de carros y por politicas de estas empresas se debe de entregar el vehiculo tanquedo, 2.se puede realizar la compra de combustible si el vehiculo es propio y es utilizado para fines laborales caso particular vendedores , debe de acogerse a la politica de combustible a nivel pais y  legalizar con  la factura del proveedor y la plantilla de combustible ( 42,5 km /galon) este beneficio solo aplica para los usuarios que no tienen chip el cual es un beneficio autorizado segun la politica de gastos de combustible.;;;;;;;
Colombia;T card;Bank Fees;este gasto solo aplica para los gastos que cobran los bancos cuando hacen pagos en el extranjero;;;;;;;
Colombia;T card;Public Transportation;para colombia hay algunas negociaciones con algunos proveedores los cuales son los que hacen transporte sea en las plantas o en las oficinas, este transporte esta autorizado normalmente son facturas altas pero son de varios viajes , en la factura normalmente va especificado ;;;;;;;
Guatemala;T card;Vehicle Maintenance & Repair Services;Para los usuarios de Purina, en este gasto aplica únicamente el reembolso del 85% de lo que refleja la factura, el restante 15% debe ser asumido por el usuario y reflejado en el reporte de gastos;;;;;;;
Argentina;P card;Trade Show Expenses;Pago de internet starlink;;;;;;;
All;All;All;Ningun gasto medico es permitido, en caso de que lo envien porque algún área lo autorizó, se rechaza y se escala con Keylor González para el debido trámite con compliance.;;;;;;;
Colombia;T card;All;las facturas de personas naturales en colombia deben de ir acompañadas del documento soporte electronico generado internamente, el consecutivo de estos documentos soportes es MCBS, esto con el fin de que este gasto sea aceptado por la dian,si no tiene documento soporte debe de ser legalizado con una factura electronica;;;;;;;
Argentina;P card;Non IT Subscription;Las licencias necesarias para el funcionamienrto del area están justificadas siempre y cuando vengan con el VB respectivo de IT o manager de segundo nivel. Ya que algunas lincencias no pueden ser pagadas por medio de orden de compra y la única forma es la tarjeta P card.;;;;;;;
Honduras;P card;Market Insights;Ada Guerra comprará alimentos de la competencia para testearlos-evaluarlos. Siempre debe adjuntar el correo de VB de Keylor González.;;;;;;;
